gene	in8	in12	in22
PBANKA_0211000	TRUE	TRUE	TRUE
PBANKA_0211000	TRUE	TRUE	TRUE
PBANKA_0515000	TRUE	TRUE	TRUE
PBANKA_0706400	TRUE	TRUE	TRUE
PBANKA_0706400	TRUE	TRUE	TRUE
PBANKA_0933700	TRUE	TRUE	TRUE
PBANKA_1013300	TRUE	TRUE	TRUE
PBANKA_1013300	TRUE	TRUE	TRUE
PBANKA_1034400		TRUE	TRUE
PBANKA_1034400		TRUE	TRUE
PBANKA_1037800		TRUE	TRUE
PBANKA_1037800		TRUE	TRUE
PBANKA_1039700			TRUE
PBANKA_1039700			TRUE
PBANKA_1101400			TRUE
PBANKA_1101400			TRUE
PBANKA_1104200			TRUE
PBANKA_1104200			TRUE
PBANKA_1214100			TRUE
PBANKA_1214100			TRUE
PBANKA_1401600			TRUE
PBANKA_1401600			TRUE
